sourcetype,"_raw",host,source,index
"octopus:event","{""Id"":""events-264"",""RelatedDocumentIds"":[""Environments-33"",""projects-34"",""releases-180"",""deployments-197""],""Category"":""DeploymentQueued"",""UserId"":""users-65"",""Username"":""Rupert"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-07-16T10:53:56.221+00:00"",""Message"":""Deployed Amazing Payment Gateway release 0.0.4 to UAT"",""MessageHtml"":""Deployed <a href='/r/projects-34'>Amazing Payment Gateway</a> release <a href='/r/releases-180'>0.0.4</a> to <a href='/r/deployments-197'>UAT</a>"",""MessageReferences"":[{""ReferencedDocumentId"":""projects-34"",""StartIndex"":9,""Length"":23},{""ReferencedDocumentId"":""releases-180"",""StartIndex"":41,""Length"":5},{""ReferencedDocumentId"":""deployments-197"",""StartIndex"":50,""Length"":3}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-264""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-265"",""RelatedDocumentIds"":[""Environments-34"",""projects-34"",""releases-180"",""deployments-198""],""Category"":""DeploymentQueued"",""UserId"":""users-65"",""Username"":""Rupert"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-07-16T10:53:56.987+00:00"",""Message"":""Deployed Amazing Payment Gateway release 0.0.4 to Production"",""MessageHtml"":""Deployed <a href='/r/projects-34'>Amazing Payment Gateway</a> release <a href='/r/releases-180'>0.0.4</a> to <a href='/r/deployments-198'>Production</a>"",""MessageReferences"":[{""ReferencedDocumentId"":""projects-34"",""StartIndex"":9,""Length"":23},{""ReferencedDocumentId"":""releases-180"",""StartIndex"":41,""Length"":5},{""ReferencedDocumentId"":""deployments-198"",""StartIndex"":50,""Length"":10}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-265""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-1"",""RelatedDocumentIds"":[""users-1""],""Category"":""Created"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Command-line or tools"",""Occurred"":""2015-04-27T10:58:48.248+00:00"",""Message"":""User merbla was created using the admin command line"",""MessageHtml"":""User <a href='/r/users-1'>merbla</a> was created using the admin command line"",""MessageReferences"":[{""ReferencedDocumentId"":""users-1"",""StartIndex"":5,""Length"":6}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-1""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-2"",""RelatedDocumentIds"":[""users-1""],""Category"":""Modified"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Command-line or tools"",""Occurred"":""2015-04-27T10:58:48.281+00:00"",""Message"":""User merbla set password using the admin command line"",""MessageHtml"":""User <a href='/r/users-1'>merbla</a> set password using the admin command line"",""MessageReferences"":[{""ReferencedDocumentId"":""users-1"",""StartIndex"":5,""Length"":6}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-2""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-3"",""RelatedDocumentIds"":[""users-1"",""teams-administrators""],""Category"":""Modified"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Command-line or tools"",""Occurred"":""2015-04-27T10:58:48.325+00:00"",""Message"":""User merbla was added to Octopus Administrators using the admin command line"",""MessageHtml"":""User <a href='/r/users-1'>merbla</a> was added to <a href='/r/teams-administrators'>Octopus Administrators</a> using the admin command line"",""MessageReferences"":[{""ReferencedDocumentId"":""users-1"",""StartIndex"":5,""Length"":6},{""ReferencedDocumentId"":""teams-administrators"",""StartIndex"":25,""Length"":22}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-3""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-33"",""RelatedDocumentIds"":[""projects-1""],""Category"":""Created"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-04-29T11:14:27.843+00:00"",""Message"":""Project A new project was created"",""MessageHtml"":""Project <a href='/r/projects-1'>A new project</a> was created"",""MessageReferences"":[{""ReferencedDocumentId"":""projects-1"",""StartIndex"":8,""Length"":13}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-33""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-34"",""RelatedDocumentIds"":[""Environments-1""],""Category"":""Created"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-04-29T12:14:44.644+00:00"",""Message"":""Environment Development was created"",""MessageHtml"":""Environment <a href='/r/Environments-1'>Development</a> was created"",""MessageReferences"":[{""ReferencedDocumentId"":""Environments-1"",""StartIndex"":12,""Length"":11}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-34""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-35"",""RelatedDocumentIds"":[""machines-1""],""Category"":""Created"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-04-29T12:15:10.927+00:00"",""Message"":""Machine WIN-658U9N3BFNP was created"",""MessageHtml"":""Machine <a href='/r/machines-1'>WIN-658U9N3BFNP</a> was created"",""MessageReferences"":[{""ReferencedDocumentId"":""machines-1"",""StartIndex"":8,""Length"":15}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-35""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-36"",""RelatedDocumentIds"":[""deploymentprocess-projects-1"",""projects-1""],""Category"":""Modified"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-04-29T12:15:54.695+00:00"",""Message"":""Deployment process for A new project was changed"",""MessageHtml"":""Deployment process for <a href='/r/projects-1'>A new project</a> was changed"",""MessageReferences"":[{""ReferencedDocumentId"":""projects-1"",""StartIndex"":23,""Length"":13}],""Comments"":null,""Details"":""<span>{\r&para;<br>  \""ProjectId\"": \""projects-1\"",\r&para;<br>  \""Steps\"": [</span><ins style=\""background:#e6ffe6;\"">\r&para;<br>    {\r&para;<br>      \""Id\"": \""fa978568-995d-41d1-aab5-fe7b3b29d915\"",\r&para;<br>      \""Name\"": \""Go Do It\"",\r&para;<br>      \""Condition\"": \""Success\"",\r&para;<br>      \""StartTrigger\"": \""StartAfterPrevious\"",\r&para;<br>      \""RequiresPackagesToBeAcquired\"": false,\r&para;<br>      \""Actions\"": [\r&para;<br>        {\r&para;<br>          \""Id\"": \""e858e16e-80f6-49c6-9f03-fbc9ed3e5838\"",\r&para;<br>          \""Name\"": \""Go Do It\"",\r&para;<br>          \""ActionType\"": \""Octopus.Script\"",\r&para;<br>          \""Environments\"": [],\r&para;<br>          \""Properties\"": {\r&para;<br>            \""Octopus.Action.Script.ScriptBody\"": {\r&para;<br>              \""CleartextValue\"": \""ls\""\r&para;<br>            }\r&para;<br>          }\r&para;<br>        }\r&para;<br>      ],\r&para;<br>      \""Properties\"": {\r&para;<br>        \""Octopus.Action.TargetRoles\"": {\r&para;<br>          \""CleartextValue\"": \""WebServer\""\r&para;<br>        }\r&para;<br>      }\r&para;<br>    }\r&para;<br>  </ins><span>],\r&para;<br>  \""ModifiedSinceLastSnapshot\"": </span><del style=\""background:#ffe6e6;\"">fals</del><ins style=\""background:#e6ffe6;\"">tru</ins><span>e,\r&para;<br>  \""LastSnapshotNumber\"": 0,\r&para;<br>  \""LastSnapshotId\"": null,\r&para;<br>  \""IsFrozen\"": false,\r&para;<br>  \""Version\"": </span><del style=\""background:#ffe6e6;\"">0</del><ins style=\""background:#e6ffe6;\"">1</ins><span>,\r&para;<br>  \""Octopus.Platform.Documents.Model.IDocument.Name\"": \""Deployment process\""\r&para;<br>}</span>"",""Links"":{""Self"":""/api/environments/events-36""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:event","{""Id"":""events-37"",""RelatedDocumentIds"":[""projects-1"",""releases-1""],""Category"":""Created"",""UserId"":""users-1"",""Username"":""merbla"",""IdentityEstablishedWith"":""Session cookie"",""Occurred"":""2015-04-29T12:15:57.712+00:00"",""Message"":""A new project release 0.0.1 was created"",""MessageHtml"":""<a href='/r/projects-1'>A new project</a> release <a href='/r/releases-1'>0.0.1</a> was created"",""MessageReferences"":[{""ReferencedDocumentId"":""projects-1"",""StartIndex"":0,""Length"":13},{""ReferencedDocumentId"":""releases-1"",""StartIndex"":22,""Length"":5}],""Comments"":null,""Details"":null,""Links"":{""Self"":""/api/environments/events-37""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
