sourcetype,"_raw",host,source,index
"octopus:release","{""Id"":""releases-179"",""Assembled"":""2015-07-15T22:00:54.979+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-33"",""ProjectVariableSetSnapshotId"":""variableset-projects-33-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-33-snapshot-3"",""SelectedPackages"":[],""Version"":""0.6.5"",""LastModifiedOn"":""2015-07-15T22:00:54.995+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-179"",""Project"":""/api/projects/projects-33"",""Progression"":""/api/releases/releases-179/progression"",""Deployments"":""/api/releases/releases-179/deployments"",""DeploymentTemplate"":""/api/releases/releases-179/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-179"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-33-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-33-snapshot-3"",""Web"":""/app#/releases/releases-179"",""SnapshotVariables"":""/api/releases/releases-179/snapshot-variables"",""Defects"":""/api/releases/releases-179/defects"",""ReportDefect"":""/api/releases/releases-179/defects"",""ResolveDefect"":""/api/releases/releases-179/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-180"",""Assembled"":""2015-07-15T22:00:58.666+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-34"",""ProjectVariableSetSnapshotId"":""variableset-projects-34-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-34-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.4"",""LastModifiedOn"":""2015-07-15T22:00:58.682+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-180"",""Project"":""/api/projects/projects-34"",""Progression"":""/api/releases/releases-180/progression"",""Deployments"":""/api/releases/releases-180/deployments"",""DeploymentTemplate"":""/api/releases/releases-180/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-180"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-34-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-34-snapshot-1"",""Web"":""/app#/releases/releases-180"",""SnapshotVariables"":""/api/releases/releases-180/snapshot-variables"",""Defects"":""/api/releases/releases-180/defects"",""ReportDefect"":""/api/releases/releases-180/defects"",""ResolveDefect"":""/api/releases/releases-180/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-177"",""Assembled"":""2015-07-15T21:51:47.360+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-36"",""ProjectVariableSetSnapshotId"":""variableset-projects-36-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-36-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.2"",""LastModifiedOn"":""2015-07-15T21:51:47.375+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-177"",""Project"":""/api/projects/projects-36"",""Progression"":""/api/releases/releases-177/progression"",""Deployments"":""/api/releases/releases-177/deployments"",""DeploymentTemplate"":""/api/releases/releases-177/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-177"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-36-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-36-snapshot-1"",""Web"":""/app#/releases/releases-177"",""SnapshotVariables"":""/api/releases/releases-177/snapshot-variables"",""Defects"":""/api/releases/releases-177/defects"",""ReportDefect"":""/api/releases/releases-177/defects"",""ResolveDefect"":""/api/releases/releases-177/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-178"",""Assembled"":""2015-07-15T21:52:01.705+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-34"",""ProjectVariableSetSnapshotId"":""variableset-projects-34-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-34-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.3"",""LastModifiedOn"":""2015-07-15T21:52:01.736+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-178"",""Project"":""/api/projects/projects-34"",""Progression"":""/api/releases/releases-178/progression"",""Deployments"":""/api/releases/releases-178/deployments"",""DeploymentTemplate"":""/api/releases/releases-178/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-178"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-34-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-34-snapshot-1"",""Web"":""/app#/releases/releases-178"",""SnapshotVariables"":""/api/releases/releases-178/snapshot-variables"",""Defects"":""/api/releases/releases-178/defects"",""ReportDefect"":""/api/releases/releases-178/defects"",""ResolveDefect"":""/api/releases/releases-178/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-176"",""Assembled"":""2015-07-15T12:20:43.869+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-33"",""ProjectVariableSetSnapshotId"":""variableset-projects-33-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-33-snapshot-2"",""SelectedPackages"":[],""Version"":""0.6.4"",""LastModifiedOn"":""2015-07-15T12:20:43.885+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-176"",""Project"":""/api/projects/projects-33"",""Progression"":""/api/releases/releases-176/progression"",""Deployments"":""/api/releases/releases-176/deployments"",""DeploymentTemplate"":""/api/releases/releases-176/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-176"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-33-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-33-snapshot-2"",""Web"":""/app#/releases/releases-176"",""SnapshotVariables"":""/api/releases/releases-176/snapshot-variables"",""Defects"":""/api/releases/releases-176/defects"",""ReportDefect"":""/api/releases/releases-176/defects"",""ResolveDefect"":""/api/releases/releases-176/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-1"",""Assembled"":""2015-04-29T12:15:57.446+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-1"",""ProjectVariableSetSnapshotId"":""variableset-projects-1-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-1-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.1"",""LastModifiedOn"":""2015-04-29T12:15:57.712+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-1"",""Project"":""/api/projects/projects-1"",""Progression"":""/api/releases/releases-1/progression"",""Deployments"":""/api/releases/releases-1/deployments"",""DeploymentTemplate"":""/api/releases/releases-1/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-1"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-1-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-1-snapshot-1"",""Web"":""/app#/releases/releases-1"",""SnapshotVariables"":""/api/releases/releases-1/snapshot-variables"",""Defects"":""/api/releases/releases-1/defects"",""ReportDefect"":""/api/releases/releases-1/defects"",""ResolveDefect"":""/api/releases/releases-1/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-2"",""Assembled"":""2015-04-29T12:47:32.798+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-1"",""ProjectVariableSetSnapshotId"":""variableset-projects-1-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-1-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.2"",""LastModifiedOn"":""2015-04-29T12:47:32.814+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-2"",""Project"":""/api/projects/projects-1"",""Progression"":""/api/releases/releases-2/progression"",""Deployments"":""/api/releases/releases-2/deployments"",""DeploymentTemplate"":""/api/releases/releases-2/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-2"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-1-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-1-snapshot-1"",""Web"":""/app#/releases/releases-2"",""SnapshotVariables"":""/api/releases/releases-2/snapshot-variables"",""Defects"":""/api/releases/releases-2/defects"",""ReportDefect"":""/api/releases/releases-2/defects"",""ResolveDefect"":""/api/releases/releases-2/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-33"",""Assembled"":""2015-06-01T10:14:39.748+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-1"",""ProjectVariableSetSnapshotId"":""variableset-projects-1-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-1-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.3"",""LastModifiedOn"":""2015-06-01T10:14:40.030+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-33"",""Project"":""/api/projects/projects-1"",""Progression"":""/api/releases/releases-33/progression"",""Deployments"":""/api/releases/releases-33/deployments"",""DeploymentTemplate"":""/api/releases/releases-33/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-33"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-1-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-1-snapshot-1"",""Web"":""/app#/releases/releases-33"",""SnapshotVariables"":""/api/releases/releases-33/snapshot-variables"",""Defects"":""/api/releases/releases-33/defects"",""ReportDefect"":""/api/releases/releases-33/defects"",""ResolveDefect"":""/api/releases/releases-33/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-34"",""Assembled"":""2015-06-01T10:15:17.061+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-1"",""ProjectVariableSetSnapshotId"":""variableset-projects-1-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-1-snapshot-1"",""SelectedPackages"":[],""Version"":""0.0.4"",""LastModifiedOn"":""2015-06-01T10:15:17.076+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-34"",""Project"":""/api/projects/projects-1"",""Progression"":""/api/releases/releases-34/progression"",""Deployments"":""/api/releases/releases-34/deployments"",""DeploymentTemplate"":""/api/releases/releases-34/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-34"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-1-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-1-snapshot-1"",""Web"":""/app#/releases/releases-34"",""SnapshotVariables"":""/api/releases/releases-34/snapshot-variables"",""Defects"":""/api/releases/releases-34/defects"",""ReportDefect"":""/api/releases/releases-34/defects"",""ResolveDefect"":""/api/releases/releases-34/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:release","{""Id"":""releases-35"",""Assembled"":""2015-06-01T10:15:36.545+00:00"",""ReleaseNotes"":null,""ProjectId"":""projects-1"",""ProjectVariableSetSnapshotId"":""variableset-projects-1-snapshot-1"",""LibraryVariableSetSnapshotIds"":[],""ProjectDeploymentProcessSnapshotId"":""deploymentprocess-projects-1-snapshot-2"",""SelectedPackages"":[],""Version"":""0.0.5"",""LastModifiedOn"":""2015-06-01T10:15:36.561+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/releases/releases-35"",""Project"":""/api/projects/projects-1"",""Progression"":""/api/releases/releases-35/progression"",""Deployments"":""/api/releases/releases-35/deployments"",""DeploymentTemplate"":""/api/releases/releases-35/deployments/template"",""Artifacts"":""/api/artifacts?regarding=releases-35"",""ProjectVariableSnapshot"":""/api/variables/variableset-projects-1-snapshot-1"",""ProjectDeploymentProcessSnapshot"":""/api/deploymentprocesses/deploymentprocess-projects-1-snapshot-2"",""Web"":""/app#/releases/releases-35"",""SnapshotVariables"":""/api/releases/releases-35/snapshot-variables"",""Defects"":""/api/releases/releases-35/defects"",""ReportDefect"":""/api/releases/releases-35/defects"",""ResolveDefect"":""/api/releases/releases-35/defects/resolve""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
