sourcetype,"_raw",host,source,index
"octopus:task","{""Id"":""ServerTasks-622"",""Name"":""Health"",""Description"":""Check Tentacle health"",""Arguments"":{},""State"":""Success"",""Completed"":""Saturday, July 18, 2015 8:32 AM"",""QueueTime"":""2015-07-17T22:32:25.306+00:00"",""StartTime"":""2015-07-17T22:32:25.665+00:00"",""LastUpdatedTime"":""2015-07-17T22:32:27.415+00:00"",""CompletedTime"":""2015-07-17T22:32:27.415+00:00"",""Duration"":""2 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-622"",""Web"":""/app#/tasks/ServerTasks-622"",""Raw"":""/api/tasks/ServerTasks-622/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-622"",""Cancel"":""/api/tasks/ServerTasks-622/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-622/queued-behind"",""Details"":""/api/tasks/ServerTasks-622/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-622"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-623"",""Name"":""Backup"",""Description"":""Scheduled database backup"",""Arguments"":{},""State"":""Success"",""Completed"":""Saturday, July 18, 2015 8:32 AM"",""QueueTime"":""2015-07-17T22:32:25.650+00:00"",""StartTime"":""2015-07-17T22:32:25.993+00:00"",""LastUpdatedTime"":""2015-07-17T22:32:28.494+00:00"",""CompletedTime"":""2015-07-17T22:32:28.494+00:00"",""Duration"":""3 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-623"",""Web"":""/app#/tasks/ServerTasks-623"",""Raw"":""/api/tasks/ServerTasks-623/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-623"",""Cancel"":""/api/tasks/ServerTasks-623/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-623/queued-behind"",""Details"":""/api/tasks/ServerTasks-623/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-623"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-621"",""Name"":""Retention"",""Description"":""Apply retention policies"",""Arguments"":{},""State"":""Success"",""Completed"":""Saturday, July 18, 2015 8:32 AM"",""QueueTime"":""2015-07-17T22:32:23.571+00:00"",""StartTime"":""2015-07-17T22:32:23.744+00:00"",""LastUpdatedTime"":""2015-07-17T22:32:24.071+00:00"",""CompletedTime"":""2015-07-17T22:32:24.071+00:00"",""Duration"":""less than a second"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-621"",""Web"":""/app#/tasks/ServerTasks-621"",""Raw"":""/api/tasks/ServerTasks-621/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-621"",""Cancel"":""/api/tasks/ServerTasks-621/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-621/queued-behind"",""Details"":""/api/tasks/ServerTasks-621/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-621"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-620"",""Name"":""Health"",""Description"":""Check Tentacle health"",""Arguments"":{},""State"":""Success"",""Completed"":""Friday, July 17, 2015 9:38 AM"",""QueueTime"":""2015-07-16T23:38:09.682+00:00"",""StartTime"":""2015-07-16T23:38:09.871+00:00"",""LastUpdatedTime"":""2015-07-16T23:38:11.510+00:00"",""CompletedTime"":""2015-07-16T23:38:11.510+00:00"",""Duration"":""2 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-620"",""Web"":""/app#/tasks/ServerTasks-620"",""Raw"":""/api/tasks/ServerTasks-620/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-620"",""Cancel"":""/api/tasks/ServerTasks-620/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-620/queued-behind"",""Details"":""/api/tasks/ServerTasks-620/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-620"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-603"",""Name"":""Backup"",""Description"":""Scheduled database backup"",""Arguments"":{},""State"":""Success"",""Completed"":""Thursday, July 16, 2015 8:03 PM"",""QueueTime"":""2015-07-16T10:03:41.390+00:00"",""StartTime"":""2015-07-16T10:03:41.547+00:00"",""LastUpdatedTime"":""2015-07-16T10:03:42.798+00:00"",""CompletedTime"":""2015-07-16T10:03:42.798+00:00"",""Duration"":""1 second"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-603"",""Web"":""/app#/tasks/ServerTasks-603"",""Raw"":""/api/tasks/ServerTasks-603/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-603"",""Cancel"":""/api/tasks/ServerTasks-603/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-603/queued-behind"",""Details"":""/api/tasks/ServerTasks-603/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-603"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-604"",""Name"":""Retention"",""Description"":""Apply retention policies"",""Arguments"":{},""State"":""Success"",""Completed"":""Thursday, July 16, 2015 8:19 PM"",""QueueTime"":""2015-07-16T10:19:43.947+00:00"",""StartTime"":""2015-07-16T10:19:44.088+00:00"",""LastUpdatedTime"":""2015-07-16T10:19:44.401+00:00"",""CompletedTime"":""2015-07-16T10:19:44.401+00:00"",""Duration"":""less than a second"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-604"",""Web"":""/app#/tasks/ServerTasks-604"",""Raw"":""/api/tasks/ServerTasks-604/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-604"",""Cancel"":""/api/tasks/ServerTasks-604/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-604/queued-behind"",""Details"":""/api/tasks/ServerTasks-604/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-604"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-605"",""Name"":""Deploy"",""Description"":""Deploy Amazing Payment Gateway release 0.0.4 to UAT"",""Arguments"":{""DeploymentId"":""deployments-197""},""State"":""Success"",""Completed"":""Thursday, July 16, 2015 8:54 PM"",""QueueTime"":""2015-07-16T10:53:56.174+00:00"",""StartTime"":""2015-07-16T10:53:56.580+00:00"",""LastUpdatedTime"":""2015-07-16T10:54:11.582+00:00"",""CompletedTime"":""2015-07-16T10:54:11.582+00:00"",""Duration"":""15 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":false,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-605"",""Web"":""/app#/tasks/ServerTasks-605"",""Raw"":""/api/tasks/ServerTasks-605/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-605"",""Cancel"":""/api/tasks/ServerTasks-605/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-605/queued-behind"",""Details"":""/api/tasks/ServerTasks-605/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-605"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-606"",""Name"":""Deploy"",""Description"":""Deploy Amazing Payment Gateway release 0.0.4 to Production"",""Arguments"":{""DeploymentId"":""deployments-198""},""State"":""Success"",""Completed"":""Thursday, July 16, 2015 8:54 PM"",""QueueTime"":""2015-07-16T10:53:56.268+00:00"",""StartTime"":""2015-07-16T10:53:57.580+00:00"",""LastUpdatedTime"":""2015-07-16T10:54:21.692+00:00"",""CompletedTime"":""2015-07-16T10:54:21.692+00:00"",""Duration"":""24 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":false,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-606"",""Web"":""/app#/tasks/ServerTasks-606"",""Raw"":""/api/tasks/ServerTasks-606/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-606"",""Cancel"":""/api/tasks/ServerTasks-606/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-606/queued-behind"",""Details"":""/api/tasks/ServerTasks-606/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-606"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-608"",""Name"":""Health"",""Description"":""Check Tentacle health"",""Arguments"":{},""State"":""Success"",""Completed"":""Thursday, July 16, 2015 9:57 PM"",""QueueTime"":""2015-07-16T11:57:44.051+00:00"",""StartTime"":""2015-07-16T11:57:44.255+00:00"",""LastUpdatedTime"":""2015-07-16T11:57:45.801+00:00"",""CompletedTime"":""2015-07-16T11:57:45.801+00:00"",""Duration"":""2 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-608"",""Web"":""/app#/tasks/ServerTasks-608"",""Raw"":""/api/tasks/ServerTasks-608/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-608"",""Cancel"":""/api/tasks/ServerTasks-608/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-608/queued-behind"",""Details"":""/api/tasks/ServerTasks-608/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-608"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-609"",""Name"":""Health"",""Description"":""Check Tentacle health"",""Arguments"":{},""State"":""Success"",""Completed"":""Thursday, July 16, 2015 10:58 PM"",""QueueTime"":""2015-07-16T12:58:56.512+00:00"",""StartTime"":""2015-07-16T12:58:56.746+00:00"",""LastUpdatedTime"":""2015-07-16T12:58:58.840+00:00"",""CompletedTime"":""2015-07-16T12:58:58.840+00:00"",""Duration"":""2 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-609"",""Web"":""/app#/tasks/ServerTasks-609"",""Raw"":""/api/tasks/ServerTasks-609/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-609"",""Cancel"":""/api/tasks/ServerTasks-609/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-609/queued-behind"",""Details"":""/api/tasks/ServerTasks-609/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-609"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-610"",""Name"":""Retention"",""Description"":""Apply retention policies"",""Arguments"":{},""State"":""Success"",""Completed"":""Friday, July 17, 2015 12:47 AM"",""QueueTime"":""2015-07-16T14:47:49.764+00:00"",""StartTime"":""2015-07-16T14:47:50.217+00:00"",""LastUpdatedTime"":""2015-07-16T14:47:50.766+00:00"",""CompletedTime"":""2015-07-16T14:47:50.766+00:00"",""Duration"":""less than a second"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-610"",""Web"":""/app#/tasks/ServerTasks-610"",""Raw"":""/api/tasks/ServerTasks-610/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-610"",""Cancel"":""/api/tasks/ServerTasks-610/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-610/queued-behind"",""Details"":""/api/tasks/ServerTasks-610/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-610"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-611"",""Name"":""Health"",""Description"":""Check Tentacle health"",""Arguments"":{},""State"":""Success"",""Completed"":""Friday, July 17, 2015 12:47 AM"",""QueueTime"":""2015-07-16T14:47:50.264+00:00"",""StartTime"":""2015-07-16T14:47:50.498+00:00"",""LastUpdatedTime"":""2015-07-16T14:47:51.983+00:00"",""CompletedTime"":""2015-07-16T14:47:51.983+00:00"",""Duration"":""1 second"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-611"",""Web"":""/app#/tasks/ServerTasks-611"",""Raw"":""/api/tasks/ServerTasks-611/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-611"",""Cancel"":""/api/tasks/ServerTasks-611/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-611/queued-behind"",""Details"":""/api/tasks/ServerTasks-611/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-611"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-612"",""Name"":""Backup"",""Description"":""Scheduled database backup"",""Arguments"":{},""State"":""Success"",""Completed"":""Friday, July 17, 2015 12:47 AM"",""QueueTime"":""2015-07-16T14:47:50.623+00:00"",""StartTime"":""2015-07-16T14:47:50.779+00:00"",""LastUpdatedTime"":""2015-07-16T14:47:51.873+00:00"",""CompletedTime"":""2015-07-16T14:47:51.873+00:00"",""Duration"":""1 second"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-612"",""Web"":""/app#/tasks/ServerTasks-612"",""Raw"":""/api/tasks/ServerTasks-612/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-612"",""Cancel"":""/api/tasks/ServerTasks-612/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-612/queued-behind"",""Details"":""/api/tasks/ServerTasks-612/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-612"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:task","{""Id"":""ServerTasks-613"",""Name"":""Health"",""Description"":""Check Tentacle health"",""Arguments"":{},""State"":""Success"",""Completed"":""Friday, July 17, 2015 2:36 AM"",""QueueTime"":""2015-07-16T16:36:43.798+00:00"",""StartTime"":""2015-07-16T16:36:43.970+00:00"",""LastUpdatedTime"":""2015-07-16T16:36:45.563+00:00"",""CompletedTime"":""2015-07-16T16:36:45.563+00:00"",""Duration"":""2 seconds"",""ErrorMessage"":"""",""HasBeenPickedUpByProcessor"":true,""IsCompleted"":true,""FinishedSuccessfully"":true,""HasPendingInterruptions"":false,""CanRerun"":true,""HasWarningsOrErrors"":false,""Links"":{""Self"":""/api/tasks/ServerTasks-613"",""Web"":""/app#/tasks/ServerTasks-613"",""Raw"":""/api/tasks/ServerTasks-613/raw"",""Rerun"":""/api/tasks/rerun/ServerTasks-613"",""Cancel"":""/api/tasks/ServerTasks-613/cancel"",""QueuedBehind"":""/api/tasks/ServerTasks-613/queued-behind"",""Details"":""/api/tasks/ServerTasks-613/details{?verbose}"",""Artifacts"":""/api/artifacts?regarding=ServerTasks-613"",""Interruptions"":""/api/tasks""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
